imprv_val_share,P_A_TOTAL,P_A_LAND
-1.0,0,0
0.858673212072078,98500,6500
0.8260828187219458,120800,25000
0.8548483045806068,143000,21400
0.9061707523245984,116900,11100
0.9009198337493431,127050,11800
0.843363561417972,115400,19000
0.8890126846536114,115450,14000
0.8958332203051436,107000,10400
0.8449499364509181,115100,17300
0.9192854646834501,85100,6700
0.90625,74800,6400
0.9103030303030303,82000,6900
0.9170191551008728,85300,6800
0.899135446685879,111450,10600
0.9169392645242495,104700,8200
0.9078947368421053,106200,9300
0.9114479610282178,107700,9000
0.9064748201438849,85200,7900
0.9144981412639405,80100,6800
0.9208631493212049,76500,6000
0.9263721552878179,79200,5500
0.9172807838753225,85300,6900
0.9271341816078658,71200,5000
0.9203980099502488,64500,4800
0.9234167893961709,70400,5200
0.9302949061662198,73300,5200
0.9153025763444003,72100,6050
0.9174256434030357,75100,6100
0.9124668435013262,76450,6600
0.9242203358735257,100600,7200
0.9246231155778895,95000,7200
0.923758836346249,109350,8100
0.9212148341065083,134150,10200
0.9211797146228918,135400,10300
0.9231576464392685,109600,8100
0.9278846153846154,99900,7100
0.9417387225677922,113700,6500
0.9428044280442804,112100,6200
0.9373256801762181,86450,5200
0.9308093994778068,77400,5200
0.9275568181818182,76700,5300
0.9300741132754811,64500,4500
0.944658764632261,84600,4600
0.9249049668167961,53700,3200
0.9445407279029463,56200,3000
0.9472469990699647,59800,3100
0.9389763779527559,50900,3100
0.9385847797062751,75800,4600
0.9444671201814059,120550,6800
0.9492254733218589,130500,7000
0.9246747989420845,108550,7700
0.845021645021645,125200,19100
0.8476343223736968,126800,19500
0.8562172057554628,127550,19200
0.8370833592280873,138950,21000
0.8245690451677622,153350,23900
0.8492297445373096,146900,21700
0.8827930174563591,160600,21800
0.9403949298615568,114450,6200
0.9433126660761736,104900,6000
0.9440127773461107,104850,5900
0.9445480734032563,72950,3400
0.9413919413919414,50000,2600
0.9178837953091684,28300,2200
0.9427917620137299,46000,2500
0.9233894112225842,29650,2200
0.9287527193618564,39450,2700
0.9324324324324325,40500,2600
0.9368922873595771,43500,2700
0.9386233989882682,45100,2700
0.9480401093892434,110400,5700
0.9443882709807887,144600,7500
0.781983708672736,221800,45000
0.786487758945386,349000,79000
0.7973866498740554,330600,69900
0.8735811648079306,332800,47800
0.865444360805766,219850,27100
0.7913451861791345,260800,54200
0.8405904059040591,132200,21600
0.8243683245655986,119550,21600
0.9435619759986849,50900,2500
0.9408762447492878,49900,2600
0.9320388349514563,42000,2700
0.9186859914954781,27050,2200
0.917556411667584,28200,2100
0.9234972677595629,29700,2000
0.918225059893471,26800,2100
0.9236111111111112,30000,2200
0.9183006535947712,32200,2600
0.9463327370304114,59050,3000
0.9334112149532711,76000,5400
0.9413389015557626,104350,6050
0.9523978625541125,144500,6800
0.9585168232055887,168000,6800
0.9579453701616586,163150,7000
0.9448805607384857,56400,3000
0.9341176470588235,41800,2400
0.9375,44400,2700
0.924810967422797,29150,2000
0.9068627450980392,22200,2000
0.9274044795783927,31700,2000
0.9137931034482759,27100,2100
0.912568306010929,28000,2100
0.9123047344388369,60800,2700
0.8526029153709646,102700,5900
0.8347873500545256,78800,14200
0.8225682437955866,125300,21600
0.865968781833482,207300,23200
0.9450282942603072,228700,7300
0.9147072383586906,207900,18700
0.8351368570349433,241300,37150
0.8244638924960018,190000,31350
0.8273358673993882,205850,9600
0.9135532111423705,201400,12350
0.7887423422351751,91700,14500
0.9649122807017544,45300,1500
0.8802395209580839,19700,2100
0.9244227994227994,26700,2200
0.9488075345587119,52650,2400
0.9349593495934959,34200,2200
0.9455445544554455,42500,2200
0.9519038076152304,60900,2800
0.9431358873971691,71250,3600
0.9485483278206541,120500,5800
0.9227980933935145,183900,12700
0.9079949238578681,129900,11800
0.9015691868758916,139700,13200
0.8912905223954312,139750,15900
0.9162759544541192,117900,9400
0.9198396793587175,112900,9000
-1.0,0,0
0.45755770662695455,71400,5200
0.9490950226244343,70700,3300
0.9622641509433962,75700,2600
0.9535599250879976,169550,5000
0.9703557312252964,129600,3600
0.9403136213123564,59700,2550
0.9441441441441442,46500,2300
0.9508196721311475,58400,2700
0.8795811518324608,19300,1900
0.3512178252062645,98100,27000
0.9514051144808071,303600,24300
0.9303703703703704,196000,8000
-1.0,0,0
0.8496012759170654,29300,2200
0.9480916030534351,68300,2600
0.9478190177605936,58000,2400
0.9167305361123059,58200,2500
0.0,20100,2300
-1.0,0,0
0.9322296947749612,289900,11700
0.8791442634283415,176450,7000
0.6143197026022305,68200,10200
0.9345742534301856,56750,2950
0.9164969450101833,47100,3900
0.9139713711108481,48950,4100
0.9253731343283582,75800,5400
0.9266814237943408,97250,7300
0.9190101237345332,93600,7400
0.9200463499420626,93600,7300
0.9238900634249472,82600,6200
0.9136190088571041,61400,5200
0.9153541087299344,54000,4600
0.9216494845360824,51800,4000
0.9265658747300216,48200,3100
0.9161585365853658,67100,5700
0.916403785488959,64700,5500
0.9185842024809598,66300,5300
0.926829268292683,95100,7200
0.9224229846826958,108800,8100
0.9233844082676952,113350,8600
0.9249404554458664,101900,7800
0.9227340267459139,70100,5400
0.9205298013245033,75100,6000
0.9297895804564831,85100,6000
0.9274440419471692,60650,4800
0.8649646974996761,70650,6000
0.9372909698996655,124800,7500
0.9314194577352473,121400,8000
0.8106666666666666,162500,30000
0.7976023936094283,178550,32800
0.9264931087289433,139400,10000
0.9322180217677714,132550,8850
0.8642315644383184,132300,17700
0.9217731421121251,89500,6000
0.9298628382614691,101200,6400
0.9320186241465733,92300,6000
0.9187432286023836,110600,8000
0.83984375,146900,23300
0.845054945054945,159600,24100
0.7810326241439045,143550,30800
0.7942973523421588,144200,28700
0.721342383107089,164500,46700
0.7159653465346535,167900,49200
0.7182857142857143,157400,44800
0.7115370500675726,168900,48100
0.8143878169778871,139950,27000
0.8207316332857806,138900,24800
0.8712745719720989,146700,18600
0.901541095890411,130000,13200
0.8990256864481843,129700,13700
0.9153674832962138,136600,11500
0.9223560910307899,125200,10000
0.9212587566177428,123350,10100
0.8877284595300261,135000,14800
0.8835443037974684,133700,15500
0.7977873386601106,155800,31400
0.8622405876951331,137000,18400
0.8695207342748326,143500,18100
0.8681178691531093,127700,16400
0.83984375,131400,20000
0.8477157360406091,148800,23500
0.8460661345496009,153700,23300
0.8430265945340267,166100,24200
0.863253448900499,153000,21000
0.8605675146771037,152100,22900
0.8160762942779292,155900,28200
0.908571952566366,70450,6500
0.7669149950429348,210250,49000
0.917043112618003,110650,9100
0.8342570488351756,148650,23050
0.9309551208285386,92800,6000
-0.05916111662179396,705700,83500
0.8863287250384024,130200,14800
-0.05641441294837052,7988650,901350
0.8993647609495152,897300,90300
