P_A_TOTAL,GEO_TRACT
1140000,470201
229600,201
602800,201
384000,201
0,201
37000,201
37000,201
15300,201
0,201
0,201
0,201
40600,201
0,201
179600,201
0,201
0,201
195200,201
153700,201
268800,201
15729000,201
10753000,201
475000,201
120000,201
12638000,201
40600,201
771400,201
265000,201
387800,201
7593000,201
16733000,201
0,201
8210700,201
758000,201
1012000,201
372000,201
314000,201
715000,201
295400,201
322000,201
622000,201
1073900,201
808000,201
358000,201
526900,201
413000,201
1045400,201
982000,201
643000,201
1197000,201
308500,201
554000,201
175700,201
126900,201
62900,201
3997100,201
124600,201
113500,201
106100,201
0,201
0,201
0,201
183100,201
217200,201
129500,201
247000,201
139300,201
143200,201
94100,201
33300,201
214700,201
329800,201
350300,201
299500,201
318100,201
270400,201
301200,201
282200,201
102000,201
282000,201
296300,201
288100,201
294100,201
93900,201
299200,201
142300,201
44100,201
0,201
0,201
1078000,201
163900,201
302900,201
288000,201
238600,201
142000,201
167600,201
153300,201
134800,201
147000,201
102100,201
231700,201
138000,201
134700,201
133300,201
0,201
0,100
136000,100
139900,100
150600,100
156200,100
144500,100
122300,100
117600,100
128600,100
132200,100
131800,100
121800,100
123700,100
128500,100
153500,100
118400,100
140700,100
137500,100
149400,100
155500,100
140900,100
121200,100
149600,100
112700,100
127700,100
150100,100
133100,100
155700,100
147900,100
121300,100
138200,100
141900,100
169900,100
138000,100
166900,100
176400,100
127700,100
114700,100
142700,100
148800,100
159900,100
134700,100
140600,100
158100,100
163300,100
126700,100
156800,100
116400,100
114200,100
163900,100
143800,100
128300,100
150200,100
134500,100
0,100
161500,100
172000,100
0,100
159800,100
129100,100
135500,100
135700,100
105800,100
123800,100
129300,100
131400,100
155900,100
123800,100
125700,100
115800,100
142300,100
120000,100
155100,100
144600,100
132600,100
139200,100
152300,100
146900,100
132800,100
119200,100
133800,100
165600,100
148800,100
147000,100
217400,100
41900,100
35900,100
35400,100
237000,100
270400,100
217500,100
40000,100
40000,100
40000,100
40000,100
197400,100
229100,100
175400,100
132500,100
141600,100
169200,100
131400,100
142200,100
187000,100
203000,100
130700,100
215700,100
156500,100
171700,100
142100,100
167900,100
169600,100
277800,100
240000,100
173400,100
171100,100
166300,100
253400,100
2000,100
20000,100
20000,100
20000,100
20000,100
16000,100
16000,100
16000,100
16000,100
16000,100
16000,100
16000,100
18500,100
18500,100
21400,100
2769000,100
31100,100
30900,100
108700,100
122800,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
5990000,100
0,100
1079200,100
0,100
0,100
142300,100
723100,100
0,100
123400,100
2600,100
0,100
95000,100
95600,100
93800,100
95600,100
96700,100
95000,100
96700,100
102100,100
97300,100
87200,100
95000,100
95000,100
105000,100
108600,100
97700,100
109600,100
112200,100
106800,100
87200,100
85500,100
85500,100
89000,100
107400,100
95600,100
95600,100
108000,100
95000,100
91400,100
91400,100
87200,100
107400,100
106800,100
105000,100
105000,100
106800,100
106800,100
105000,100
105000,100
108600,100
87200,100
97300,100
110400,100
106800,100
106800,100
105000,100
112800,100
95000,100
97300,100
100900,100
115100,100
87200,100
85500,100
95000,100
95600,100
93800,100
100900,100
95000,100
109200,100
108600,100
101500,100
105000,100
90400,100
93200,100
104500,100
95000,100
93800,100
90200,100
102100,100
95000,100
108600,100
87200,100
89000,100
96700,100
114200,100
95600,100
95600,100
95600,100
90000,100
106800,100
108600,100
106800,100
106800,100
89000,100
89000,100
105000,100
118000,100
105000,100
106800,100
